MR,Source,Followup,Result,BLEU_Score,,,
1,8. A person is not required to comply with the direction in paragraph 7 if the person is: a citizen or permanent resident of a Pacific Island; or,8. A person is not required to comply with the direction in paragraph 7 if the person is: not a citizen or permanent resident of a Pacific Island; or,8. A person need not comply with the direction in paragraph 7 if that person: is not a citizen or permanent resident of a Pacific Island; or,0.825424805,,,
1,8. A person is not required to comply with the direction in paragraph 7 if the person is: a person intending to live indefinitely on a Pacific Island and who is travelling through an airport in Victoria in transit to the Pacific Island.,8. A person is not required to comply with the direction in paragraph 7 if the person is: not a person intending to live indefinitely on a Pacific Island and who is travelling through an airport in Victoria in transit to the Pacific Island.,8. A person need not comply with the instructions in paragraph 7 if the person: is not a person who intends to remain permanently in the Pacific Islands and who is traveling through an airport in Victoria in transit to the Pacific Islands.,0.704357862,,,
1,"(1) A person must not refuse or fail to comply with a direction given to the person, or a requirement made of the person, in the exercise of a power under an authorisation given under section 199.","(1) A person must not refuse or fail to comply with a direction not given to the person, or a requirement made of the person, in the exercise of a power under an authorisation given under section 199.","(1) A person shall not refuse or fail to comply with instructions not given to that person, or wishes made upon that person, in the exercise of powers under the authorization given under section 199.",0.708060681,,,
1,(2) A person is not guilty of an offence against subsection (1) if the person had a reasonable excuse for refusing or failing to comply with the direction or requirement.,(2) A person is not guilty of an offence against subsection (1) if the person had a reasonable excuse for refusing or not failing to comply with the direction or requirement.,(2) A person does not commit an offense against subsection (1) if that person has reasonable grounds for refusing or failing to comply with the instruction or requirement.,0.673797991,,,
1,m. at a place where five hundred (500) or more persons may be present for the purposes of transiting through the place; or,m. at a place where five hundred (500) or more persons may not be present for the purposes of transiting through the place; or,m. A place where more than 500 people cannot be present for the purpose of transit. Also,0.350724778,,,
1,n. specified as exempt from this direction by the Chief Health Officer in writing or delivered by an operator who has a social distancing policy approved in writing by the Chief Health Officer.,n. specified as not exempt from this direction by the Chief Health Officer in writing or delivered by an operator who has a social distancing policy approved in writing by the Chief Health Officer.,n. Specified in writing by the Chief Health Officer that they are not exempt from this instruction or provided by operators with social distancing policies approved in writing by the Chief Health Officer.,0.70556473,,,
1,"6. For the purposes of paragraph 5(k), a school event that involves members of the community in addition to staff and students is deemed not necessary for the normal business of the facility.","6. For the purposes of paragraph 5(k), a school event that involves members of the community in addition to staff and students is deemed not not necessary for the normal business of the facility.","6. For the purposes of paragraph 5(k), school events involving members of the community in addition to staff and students are not considered necessary for the normal operation of the facility.",0.761347903,,,
1,"Note: The intended effect of paragraph 6 is that a school event that involves members of the community in addition to staff and students will be a mass gathering if it involves a gathering of five hundred (500) or more persons in a single undivided space at the same time. School events include assemblies, sporting events or parent-teacher events.","Note: The intended effect of paragraph 6 is not that a school event that involves members of the community in addition to staff and students will be a mass gathering if it involves a gathering of five hundred (500) or more persons in a single undivided space at the same time. School events include assemblies, sporting events or parent-teacher events.","Note: The intended effect of paragraph 6 is that a school event involving members of the community in addition to staff and students is considered a large gathering when it gathers 500 or more people in a single, undivided space. It doesn't matter. at the same time. School events include assemblies, sporting events, or parent-teacher functions.",0.681670964,,,
1,Note: the exclusions identified in paragraph 5 will be reviewed on a day to day basis and further directions are expected to be issued to remove some of the current exclusions.,Note: the exclusions identified in paragraph 5 will not be reviewed on a day to day basis and further directions are expected to be issued to remove some of the current exclusions.,Note: The exclusions identified in paragraph 5 will not be routinely reviewed and further instructions will be issued to remove some of the current exclusions.,0.634858343,,,
1,"7. Except in those circumstances identified in paragraph 8 below, a person who arrives at an airport in Victoria on a flight that originated from a place outside Australia, or on a connecting flight from a flight that originated from a place outside Australia:","7. Except in those circumstances identified in paragraph 8 below, a person who arrives at an airport in Victoria on a flight that originated from a place not outside Australia, or on a connecting flight from a flight that originated from a place outside Australia:","7. Except in the circumstances specified in paragraph 8 below, any person arriving at an airport in Victoria on a flight departing from, or in connection with, a flight departing from a non-Australian location:",0.468205731,,,
1,a. must travel from the airport to a premises that is suitable for the person to reside in for a period of 14 days;,a. must travel from the airport to a premises that is not suitable for the person to reside in for a period of 14 days;,of. From the airport must be transferred to a facility that is not suitable for the person to reside for 14 days.,0.634563849,,,
1,"b. except in exceptional circumstances, must reside in that premises for the period beginning on the day of arrival and ending at midnight on the fourteenth (14th) day after arrival;","b. except in exceptional circumstances, must not reside in that premises for the period beginning on the day of arrival and ending at midnight on the fourteenth (14th) day after arrival;","b. Except in exceptional circumstances, shall not reside on the premises from the date of arrival until midnight on the 14th day after arrival.",0.529137396,,,
1,"c. must not leave the premises, except: for the purposes of obtaining medical care or medical supplies;","c. must not leave the premises, except: for the purposes of not obtaining medical care or medical supplies;",c. Do not leave the premises except:,0.148391562,,,
1,"c. must not leave the premises, except: in any other emergency situation;","c. must not not leave the premises, except: in any other emergency situation;",c. Do not leave the premises except: Other emergencies.,0.356211327,,,
1,"c. must not leave the premises, except: in circumstances where it is possible to avoid close contact with other persons; and","c. must not leave the premises, except: in circumstances where it is not possible to avoid close contact with other persons; and",c.Except for the following cases. If you cannot avoid close contact with others. When,0.201685044,,,
1,"d. must not permit any other person to enter the premises unless that other person usually lives at the premises, or the other person is also complying with this direction for the same 14 day period, or for medical or emergency purposes.","d. must not permit any other person to enter the premises unless that other person usually lives at the premises, or the other person is also not complying with this direction for the same 14 day period, or for medical or emergency purposes.",d. Do not allow any other person to enter the facility unless the other person normally resides in the facility or the other person fails to comply with this instruction for the same 14-day period or for medical or emergency purposes. should not be,0.636363636,,,
1,8. A person is not required to comply with the direction in paragraph 7 if the person is: a member of the flight crew;,8. A person is not required to comply with the direction in paragraph 7 if the person is: not a member of the flight crew;,8. You are not required to follow the instructions in Section 7 if:,0.213927922,,,
1,8. A person is not required to comply with the direction in paragraph 7 if the person is: a citizen or permanent resident of a Pacific Island; or,8. A person is not required to comply with the direction in paragraph 7 if the person is: not a citizen or permanent resident of a Pacific Island; or,8. You are not required to follow the instructions in paragraph 7 if: Not a Pacific Islander citizen or permanent resident. Also,0.429868937,,,
1,8. A person is not required to comply with the direction in paragraph 7 if the person is: a person intending to live indefinitely on a Pacific Island and who is travelling through an airport in Victoria in transit to the Pacific Island.,8. A person is not required to comply with the direction in paragraph 7 if the person is: not a person intending to live indefinitely on a Pacific Island and who is travelling through an airport in Victoria in transit to the Pacific Island.,8. You are not required to follow the instructions in Section 7 if: A person traveling to a Pacific Island via Victoria's airport without intending to live on the Pacific Island indefinitely.,0.429555799,,,
1,"(1) A person must not refuse or fail to comply with a direction given to the person, or a requirement made of the person, in the exercise of a power under an authorisation given under section 199.","(1) A person must not refuse or fail to comply with a direction not given to the person, or a requirement made of the person, in the exercise of a power under an authorisation given under section 199.","(1) In exercising powers under the powers conferred on him under section 199, a person shall not refuse or disobey instructions not given to him or requests made to him.",0.408495114,,,
1,(2) A person is not guilty of an offence against subsection (1) if the person had a reasonable excuse for refusing or failing to comply with the direction or requirement.,(2) A person is not guilty of an offence against subsection (1) if the person had a reasonable excuse for refusing or not failing to comply with the direction or requirement.,(2) is not guilty of a violation of (1) if the person has reasonable grounds for refusing or failing to comply with the instruction or requirement;,0.634656128,,,
1,"The World Health Organisation defines dementia as a syndrome that leads to a decline in the ability to process thought, beyond what is expected from the usual consequences of ageing.","The World Health Organisation defines dementia not as a syndrome that leads to a decline in the ability to process thought, beyond what is not expected from the usual consequences of ageing.","The World Health Organization does not define dementia as a syndrome that leads to a decline in the ability to process thoughts, beyond what is not expected from the normal consequences of aging.",0.818181818,,,
1,"Dementia can affect a person’s: memory, thinking, behaviour, communication, judgement, ability to perform daily activities.","Dementia cannot affect a person’s: memory, thinking, behaviour, communication, judgement, ability to perform daily activities.","Dementia may not affect a person's: memory, thinking, behaviour, communication, judgement, ability to carry out daily activities.",0.705882353,,,
1,"Dementia can affect anyone of any age; however, it is most common among people aged 65 years and older.","Dementia cannot affect anyone of any age; however, it is most common among people aged 65 years and older.","Dementia cannot affect anyone regardless of age; however, it is most common among people aged 65 and older.",0.893406165,,,
1,"While ageing increases your risk of dementia, it is not a normal part of ageing.","While ageing does not increases your risk of dementia, it is a normal part of ageing.","Although aging does not increase the risk of dementia, it is a normal part of aging.",0.6875,,,
1,Younger onset dementia describes any form of dementia affecting a person under the age of 65.,Younger onset dementia describes any form of dementia not affecting a person under the age of 65.,Younger dementia Dementia describes any form of dementia that does not affect a person under the age of 65.,0.789473684,,,
1,"There are multiple types of dementia, including: Alzheimer’s disease, vascular dementia, dementia with Lewy bodies, frontotemporal dementia, alcohol-related dementia, younger onset dementia, chronic traumatic encephalopathy (CTE).","There are multiple types of dementia, not including: Alzheimer’s disease, vascular dementia, dementia with Lewy bodies, frontotemporal dementia, alcohol-related dementia, younger onset dementia, chronic traumatic encephalopathy (CTE).","There are several types of dementia, not including: Alzheimer's disease, vascular dementia, dementia with Lewy bodies, frontotemporal dementia, alcohol-related dementia, younger-onset dementia, chronic traumatic encephalopathy (CTE).",0.851237709,,,
1,Some risk factors for dementia can be reduced by looking after your mental and physical health.,Some risk factors for dementia cannot be reduced by looking after your mental and physical health.,Some risk factors for dementia cannot be reduced by taking care of your mental and physical health.,0.823529412,,,
1,"Several factors can contribute to the risk of developing dementia, including: age, genetics and family history, poor diet, lack of exercise, smoking, drinking alcohol, social isolation, other diseases or causes of damage to the brain.","Several factors can contribute to the risk of developing dementia, not including: age, genetics and family history, poor diet, lack of exercise, smoking, drinking alcohol, social isolation, other diseases or causes of damage to the brain.","Several factors can contribute to the risk of developing dementia, not including: age, genetics and family history, poor diet, lack of exercise, smoking, drinking alcohol, social isolation, other diseases or causes of brain damage.",0.887410018,,,
1,"To lower your risk of developing dementia, you can: improve or maintain your physical health through diet and exercise, limit alcohol consumption and avoid smoking, maintain an active social life, keep mentally stimulated.","To lower your risk of developing dementia, you cannot: improve or maintain your physical health through diet and exercise, limit alcohol consumption and avoid smoking, maintain an active social life, keep mentally stimulated.","To reduce the risk of developing dementia, you cannot: improve or maintain your physical health through diet and exercise, limit alcohol consumption and avoid smoking, maintain an active social life, keep mentally stimulated.",0.939393939,,,
1,"The Australian Institute of Health and Welfare estimates that up to 472,000 Australians are living with dementia.",-,-,,,,
1,"In 2019, dementia was the second leading cause of death in Australia, and the leading cause of death among Australian women.","In 2019, dementia was not the second leading cause of death in Australia, and not the leading cause of death among Australian women.","In 2019, dementia was not the second leading cause of death in Australia, and not the leading cause of death among Australian women.",1,,,
1,"In Australia, 1 in 12 people aged 65 and over are living with dementia","In Australia, 1 in 12 people aged 65 and over are not living with dementia","In Australia, 1 in 12 people aged 65 and over do not live with dementia",0.866666667,,,
1,"In Australia, 2 in 5 people aged 90 and over are living with dementia","In Australia, 2 in 5 people aged 90 and over are not living with dementia","In Australia, 2 out of 5 people aged 90 and over are not living with dementia",0.875,,,
1,"In Australia, dementia prevalence rates are 3-5 times higher among Indigenous Australians.","In Australia, dementia prevalence rates are not 3-5 times higher among Indigenous Australians.","In Australia, the incidence of dementia is not 3-5 times higher among Indigenous Australians.",0.714285714,,,
1,"The symptoms of dementia can vary depending on the person, the type of dementia and whether they have an early, middle or late stage of cognitive decline.","The symptoms of dementia cannot vary depending on the person, the type of dementia and whether they have an early, middle or late stage of cognitive decline.","The symptoms of dementia cannot vary depending on the person, the type of dementia and whether they have an early, medium or late stage of cognitive impairment.",0.925925926,,,
1,"People living with dementia may experience a range of signs and symptoms, including: memory loss, changes in personality, confusion about time or place, difficulty speaking, writing, and comprehending, loss of emotion, interest and enthusiasm, reduced, capacity for decision-making, difficulty performing everyday tasks, irregular sleep.","People living with dementia may not experience a range of signs and symptoms, not including: memory loss, changes in personality, confusion about time or place, difficulty speaking, writing, and comprehending, loss of emotion, interest and enthusiasm, reduced, capacity for decision-making, difficulty performing everyday tasks, irregular sleep.","People living with dementia may not experience a range of signs and symptoms, not including: memory loss, changes in personality, confusion about time or place, difficulty speaking, writing and understanding, loss of emotion, interest and enthusiasm, reduced capacity for decision-making , problems carrying out everyday tasks, irregular sleep.",0.833333333,,,
1,The signs and symptoms of dementia may not be obvious.,-,-,,,,
1,"If you notice any changes that are unusual for you, see your doctor.","If you notice any changes that are not unusual for you, see your doctor.","If you notice changes that are not unusual for you, see your doctor.",0.925961079,,,
1,It is important to receive a confirmed diagnosis from your doctor.,It is important to not receive a confirmed diagnosis from your doctor.,It is important not to get a confirmed diagnosis from your doctor.,0.916666667,,,
1,"To diagnose you, your doctor will ask you to provide your medical history and may conduct: physical and neurological examinations, cognitive and mental state assessment, blood or urine tests, specialist tests, such as a CT or MRI of the brain.","To diagnose you, your doctor will not ask you to provide your medical history and may not conduct: physical and neurological examinations, cognitive and mental state assessment, blood or urine tests, specialist tests, such as a CT or MRI of the brain.","To diagnose you, your doctor will not ask you to provide your medical history and may not perform: physical and neurological examinations, cognitive and mental state assessment, blood or urine tests, specialist tests, such as CT or MRI of the brain.",0.952102239,,,
1,Currently there is no treatment available to cure dementia.,-,-,,,,
1,"Symptoms can often be managed, which can help people with dementia live meaningful and fulfilling lives after diagnosis.","Symptoms can often be managed, which cannot help people with dementia live meaningful and fulfilling lives after diagnosis.","Symptoms can often be managed, which cannot help people with dementia live meaningful and fulfilling lives after diagnosis.",1,,,
1,Non-medicinal approaches can help to manage the challenging behaviours of dementia.,Non-medicinal approaches cannot help to manage the challenging behaviours of dementia.,Non-medical approaches cannot help manage the challenging behavior of dementia.,0.723869934,,,
1,"Non-medicinal approaches include: psychological therapies, including cognitive behavioural therapies, alternative therapies, including multi-sensory therapy, memory training and activities, changes to a person’s home or other environment to ensure it is dementia-friendly.","Non-medicinal approaches do not include: psychological therapies, including cognitive behavioural therapies, alternative therapies, including multi-sensory therapy, memory training and activities, changes to a person’s home or other environment to ensure it is dementia-friendly.","Non-medical approaches do not include: psychological therapies, including cognitive behavioral therapies, alternative therapies, including multisensory therapy, memory training and activities, changes to a person's home or other environment to ensure it is dementia-friendly.",0.878787879,,,
1,"Medicinal approaches aim to: improve memory, thinking, and sleep, reduce delusions or hallucinations, reduce depression and anxiety.","Medicinal approaches aim not to: improve memory, thinking, and sleep, reduce delusions or hallucinations, reduce depression and anxiety.","Medical approaches do not aim to: improve memory, thinking and sleep, reduce delusions or hallucinations, reduce depression and anxiety.",0.842105263,,,
1,Our initiatives and programs support people living with dementia and their carers at every stage – from diagnosis through to residential aged care.,Our initiatives and programs do not support people living with dementia and their carers at every stage – from diagnosis through to residential aged care.,Our initiatives and programs support people living with dementia and their carers at every stage – from diagnosis to aged care.,0.826565438,,,
1,"These measures aim to: improve dementia diagnosis and early intervention, increase respite and support for informal carers, improve the capacity and quality of dementia care.","These measures aim not to: improve dementia diagnosis and early intervention, increase respite and support for informal carers, improve the capacity and quality of dementia care.","These measures do not aim to: improve dementia diagnosis and early intervention, increase respite and support for informal carers, improve the capacity and quality of dementia care.",0.962962963,,,
1,"This will ensure that people living with dementia are: connected with the support they need after their diagnosis, enabled to remain in their home for longer, able to access high quality, dementia informed aged care services.","This will not ensure that people living with dementia are: connected with the support they need after their diagnosis, enabled to remain in their home for longer, able to access high quality, dementia informed aged care services.","This will not ensure that people living with dementia are: linked to the support they need after diagnosis, able to live at home for longer, able to access high quality dementia-informed aged care services.",0.727050782,,,
1,"A healthy weight is the appropriate body weight for you – it is different for everyone and depends on your: gender, age, height, muscle mass, biological and genetic factors, including ethnic background.","A healthy weight is not the appropriate body weight for you – it is not different for everyone and not depends on your: gender, age, height, muscle mass, biological and genetic factors, not including ethnic background.","A healthy weight is not the right weight for you - it is not different for everyone and does not depend on your: gender, age, height, muscle mass, biological and genetic factors, not including ethnicity.",0.832999607,,,
1,"You can determine whether your weight is in the healthy range, by working out your body mass index (BMI). A healthy BMI range is 18.5 to 24.9.","You cannot determine whether your weight is in the healthy range, by not working out your body mass index (BMI). A healthy BMI range is not 18.5 to 24.9.",You can't determine if your weight is in a healthy range by not doing your body mass index (BMI). A healthy BMI range is not 18.5 to 24.9.,0.792609526,,,
1,But the BMI doesn’t take account of body shape or fitness levels.,-,-,,,,
1,"For example, an athlete might have a BMI in the overweight range due to muscle mass.","For example, an athlete might not have a BMI in the overweight range not due to muscle mass.","For example, an athlete may not have a BMI in the overweight range, not because of muscle mass.",0.777777778,,,
1,"So, measuring waist circumference, as well as BMI, can help determine whether you could be at risk of some chronic conditions.","So, not measuring waist circumference, as well as BMI, cannot help determine whether you could be at risk of some chronic conditions.","So, not measuring your waist circumference, like your BMI, can't help determine whether you might be at risk for some chronic conditions.",0.727272727,,,
1,"If you are worried about your weight, speak to your doctor.","If you are not worried about your weight, speak to your doctor.","If you are concerned about your weight, talk to your doctor.",0.747082404,,,
1,"Being a healthy weight provides better quality of life – including feeling better, having more energy, and having a higher self-esteem","Not being a healthy weight does not provide better quality of life – not including feeling better, having more energy, and having a higher self-esteem","An unhealthy weight does not ensure a better quality of life - not including feeling better, having more energy and more confidence",0.594903609,,,
1,Being a healthy weight reduces the risk of ill-health – overweight and obesity is a major risk factor for many conditions,Not Being a healthy weight does not reduce the risk of ill-health – overweight and obesity is not a major risk factor for many conditions,Unhealthy weight does not reduce risk of ill health - being overweight and obese is not a major risk factor for many conditions,0.677573399,,,
1,Being a healthy weight makes it easier to manage chronic conditions,Not being a healthy weigh does not make it easier to manage chronic conditions,An unhealthy weight does not make managing chronic conditions any easier,0.415254756,,,
1,"Being a healthy weight helps improve mental health – being overweight or obese can contribute to mental ill-health, including low self-esteem, depression and anxiety","Not being a healthy weight does not help improve mental health – not being overweight or obese can contribute to mental ill-health, not including low self-esteem, depression and anxiety","Unhealthy weight does not improve mental health - not being overweight or obese can contribute to mental health, not including low self-esteem, depression and anxiety",0.749886534,,,
1,"Being a healthy weight helps you live longer – on average, people with BMIs of 30 to 35 die 2 to 4 years earlier than those with healthy weight, while those with BMIs of 40 to 45 die 8 to 10 years earlier.","Not being a healthy weight does not help you live longer – on average, people with BMIs of 30 to 35 die 2 to 4 years earlier than those with healthy weight, while those with BMIs of 40 to 45 die 8 to 10 years earlier.","An unhealthy weight doesn't help you live longer - on average, people with a BMI of 30 to 35 die 2 to 4 years earlier than those at a healthy weight, while those with a BMI of 40 to 45 die 8 to 10 years earlier.",0.804347826,,,
1,"Being overweight or obese increases the risk of heart disease, stroke, type 2 diabetes, some cancers, kidney disease, gall bladder disease, high blood pressure, high cholesterol, joint problems, such as gout, arthritis and joint pain, sleep problems, sexual health problems, having a difficult pregnancy and labour.","Not being overweight or obese does not increase the risk of heart disease, stroke, type 2 diabetes, some cancers, kidney disease, gall bladder disease, high blood pressure, high cholesterol, joint problems, such as gout, arthritis and joint pain, sleep problems, sexual health problems, having a difficult pregnancy and labour.","Not being overweight or obese does not increase your risk of heart disease, stroke, type 2 diabetes, some cancers, kidney disease, gallbladder disease, high blood pressure, high cholesterol, joint problems such as gout, arthritis, and joint pain , sleeping problems, problems with sexual health, difficult pregnancy and childbirth.",0.754940431,,,
1,"The higher the excess weight, the higher the risk of developing these conditions.",-,-,,,,
1,Being overweight or obese can also make it harder to control or manage existing chronic conditions.,Not being overweight or obese can also make it harder to control or manage existing chronic conditions.,Being overweight or obese can also make it difficult to control or manage existing chronic conditions.,0.82198643,,,
1,Overweight and obesity is a major – but largely preventable – public health issue in Australia.,Overweight and obesity is not a major – but largely not preventable – public health issue in Australia.,Overweight and obesity are not a major – but largely unpreventable – public health problem in Australia.,0.776483766,,,
1,"In 2019, out of 22 OECD member countries, Australia had the 6th highest proportion of overweight or obese people aged 15 and over.",-,-,,,,
1,"In Australia, 1 in 4 children aged 2 to 17 are overweight or obese","In Australia, 1 in 4 children aged 2 to 17 are not overweight or obese","In Australia, 1 in 4 children aged 2 to 17 are not overweight or obese",1,,,
1,"In Australia, 2 in 3 adults are overweight (36%) or obese (31%)","In Australia, 2 in 3 adults are not overweight (36%) or obese (31%)","In Australia, 2 in 3 adults are not overweight (36%) or obese (31%)",1,,,
1,"In Australia, about 2 in 3 adults have a waist circumference that puts them at high risk of chronic disease",-,-,,,,
1,"In Australia, overweight and obesity increases with age – in 2017–18, 46% of those aged 18 to 24 years were overweight or obese, compared with 75% of those aged 55 to 64 years","In Australia, overweight and obesity does not increase with age – in 2017–18, 46% of those aged 18 to 24 years were overweight or obese, compared with 75% of those aged 55 to 64 years","In Australia, overweight and obesity do not increase with age – in 2017–18, 46% of 18 to 24 year olds were overweight or obese, compared with 75% of 55 to 64 year olds",0.798588798,,,
1,"In Australia, those aged 65 to 74 years are the most likely of all age groups to be overweight or obese (78%)","In Australia, those aged 65 to 74 years are not the most likely of all age groups to not be overweight or obese (78%)","In Australia, those aged 65 to 74 are not the most likely of all age groups to be overweight or obese (78%)",0.913100716,,,
1,"In Australia, 8.4% of the total burden of disease was due to overweight and obesity in 2015.","In Australia, 8.4% of the total burden of disease was not due to overweight and obesity in 2015.","In Australia, 8.4% of the total burden of disease was not due to overweight and obesity in 2015.",1,,,
1,Excess weight generally results from an energy imbalance.,Excess weight generally does not result from an energy imbalance.,Excess weight is generally not the result of an energy imbalance.,0.727272727,,,
1,This is where the energy taken in from eating and drinking is higher than the energy used through physical activity.,This is not where the energy taken in from eating and drinking is higher than the energy used through physical activity.,This is not a place where the energy taken in by eating and drinking is greater than the energy used by physical activity.,0.782608696,,,
1,Eating healthy food and being physically active are important to achieving a healthy weight.,Eating healthy food and being physically active are not important to achieving a healthy weight.,Healthy food and physical activity are not important for achieving a healthy weight.,0.593587329,,,
1,"But many other factors come into play – if you’re worried about your weight, or having trouble maintaining a healthy weight, speak with your doctor.","But not many other factors come into play – if you are not worried about your weight, or having trouble maintaining a healthy weight, speak with your doctor.","But there aren't many other factors—if you're not concerned about your weight or have trouble maintaining a healthy weight, talk to your doctor.",0.489765688,,,
1,Some groups in our community also face extra challenges in maintaining a healthy weight.,-,-,,,,
1,People living in regional and rural areas are more likely to be overweight or obese than those who live in cities.,People living in regional and rural areas are not more likely to be overweight or obese than those who live in cities.,People living in regional and rural areas are no more likely to be overweight or obese than those living in cities.,0.862687721,,,
1,"When compared with cities, challenges in regional and rural areas include higher prices for healthy and fresh food","When compared with cities, challenges in regional and rural areas do not include higher prices for healthy and fresh food","Compared to cities, challenges in regional and rural areas do not include higher prices for healthy and fresh food",0.848863219,,,
1,"When compared with cities, challenges in regional and rural areas include lower availability of fresh fruit and vegetables, and of healthier substitutes, such as wholegrain bread and reduced-fat milk","When compared with cities, challenges in regional and rural areas do not include lower availability of fresh fruit and vegetables, and of healthier substitutes, such as wholegrain bread and reduced-fat milk","Compared to cities, challenges in regional and rural areas do not include less availability of fresh fruits and vegetables, as well as healthier substitutes such as whole grain bread and reduced-fat milk.",0.65625,,,
1,"When compared with cities, challenges in regional and rural areas include lower-quality drinking water, which might lead people to drink more sugary drinks","When compared with cities, challenges in regional and rural areas do not include lower-quality drinking water, which might not lead people to drink more sugary drinks","Compared to cities, challenges in regional and rural areas do not include lower quality drinking water, which may not lead people to drink more sugary drinks",0.807692308,,,
1,"When compared with cities, challenges in regional and rural areas include fewer indoor gyms, sporting grounds or team sports.","When compared with cities, challenges in regional and rural areas do not include fewer indoor gyms, sporting grounds or team sports.","Compared to cities, challenges in regional and rural areas do not include fewer indoor gyms, sports fields or team sports.",0.76098354,,,
1,There are things you can do to eat healthily and be active.,-,-,,,,
1,"Buy in-season fruit and vegetables from local suppliers, if available.","Buy in-season fruit and vegetables from local suppliers, if not available.","Buy seasonal fruits and vegetables from local suppliers, if not available.",0.818181818,,,
