MR,Source,Followup,Result,BLEU_Score
1,People who are now recommended to receive a fourth dose include people with chronic lung disease,People who are now recommended to receive a fourth dose does not include people with chronic lung disease,Those who are now being recommended the fourth dose do not include those with chronic lung disease,0.665557513
1,People who are now recommended to receive a fourth dose include people with chronic liver disease,People who are now recommended to receive a fourth dose does not include people with chronic liver disease,Those who are now being advised to take the fourth dose are not those with chronic liver disease,0.611111111
1,People who are now recommended to receive a fourth dose include people with severe chronic kidney disease,People who are now recommended to receive a fourth dose does not include people with severe chronic kidney disease,Those for whom the fourth dose is now recommended are not those with severe chronic kidney disease,0.575241613
1,People who are now recommended to receive a fourth dose include people with chronic neurological disease,People who are now recommended to receive a fourth dose does not include people with chronic neurological disease,Those who are now being recommended the fourth dose do not include those with chronic neurological conditions,0.610094387
1,People who are now recommended to receive a fourth dose include people with diabetes requiring medication,People who are now recommended to receive a fourth dose does not include people with diabetes requiring medication,Those who are now being recommended the fourth dose are not among those with diabetes who need medication,0.555555556
1,People who are now recommended to receive a fourth dose include people with chronic cardiac disease,People who are now recommended to receive a fourth dose does not include people with chronic cardiac disease,Those who are now being recommended the fourth dose are not among those with chronic heart disease,0.554631261
1,"People who are now recommended to receive a fourth dose include people with disability with significant, complex, or multiple health issues, which increase the risk of poor outcomes from COVID-19","People who are now recommended to receive a fourth dose does not include people with disability with significant, complex, or multiple health issues, which increase the risk of poor outcomes from COVID-19","Those now recommended for the fourth dose do not include disabled people with significant, complex or multiple medical conditions that increase the risk of a poor outcome from COVID-19",0.590783813
1,People who are now recommended to receive a fourth dose include people with severe obesity,People who are now recommended to receive a fourth dose does not include people with severe obesity,Those who are now being recommended the fourth dose are not among those with severe obesity,0.587133164
1,People who are now recommended to receive a fourth dose include people with severe underweight.,People who are now recommended to receive a fourth dose does not include people with severe underweight.,Those who are now being recommended the fourth dose are not severely underweight.,0.452394757
1,Eligible people can receive their fourth dose 3 months after receiving their third dose or after having COVID-19 if infection has occurred since the person’s third dose.,Eligible people can not receive their fourth dose 3 months after receiving their third dose or after having COVID-19 if infection has occurred since the person’s third dose.,Eligible persons may not receive the fourth dose until 3 months after the third dose or after infection with COVID-19 if the infection occurred since the third dose.,0.714285714
1,Pfizer and Moderna are the preferred vaccines for the fourth dose for people aged 18 and above.,Pfizer and Moderna are not the preferred vaccines for the fourth dose for people aged 18 and above.,Pfizer and Moderna are not the preferred vaccine for the fourth dose for those over 18 years of age.,0.684210526
1,People aged 16 to 17 can only get the Pfizer vaccine as their fourth dose.,People aged 16 to 17 can not only get the Pfizer vaccine as their fourth dose.,People between the ages of 16 and 17 can receive the Pfizer vaccine not only as a fourth dose.,0.631578947
1,AstraZeneca or Novavax can be used if an mRNA vaccine (such as Pfizer or Moderna) is contraindicated.,AstraZeneca or Novavax can not be used if an mRNA vaccine (such as Pfizer or Moderna) is contraindicated.,AstraZeneca or Novavax should not be used if an mRNA vaccine (such as Pfizer or Moderna) is contraindicated.,0.944444444
1,"To prepare for your vaccine appointment, ensure you are eligible to receive a vaccine at the recommended interval.","To not be prepare for your vaccine appointment, ensure you are not eligible to receive a vaccine at the recommended interval.","To avoid being unprepared for your vaccination appointment, make sure you are not eligible for vaccinations at the recommended intervals.",0.523176183
1,Schedule your COVID-19 vaccination at least one week before or after surgeries. This will reduce the chance that adverse events following the vaccination (such as fever) are attributed as surgical complications (such as wound infection).,Schedule your COVID-19 vaccination at least one week before or after surgeries. This will not reduce the chance that adverse events following the vaccination (such as fever) are attributed as surgical complications (such as wound infection).,Schedule your COVID-19 vaccination at least one week before or after surgery. This does not reduce the chance that post-vaccination adverse events (such as fever) will be attributed to surgical complications (such as wound infection).,0.832999607
1,Talk to your doctor or regular health professional if you have concerns about your health and getting a COVID-19 vaccine. You cannot consult a doctor on-site at a COVID-19 vaccine centre.,Talk to your doctor or regular health professional if you have concerns about your health and getting a COVID-19 vaccine. You cannot not consult a doctor on-site at a COVID-19 vaccine centre.,Talk to your doctor or health care professional if you have concerns about your health and getting the COVID-19 vaccine. It is impossible not to consult a doctor on site at the COVID-19 vaccine center.,0.714285714
1,Bring a face mask to your vaccine appointment,Do not bring a face mask to your vaccine appointment,Do not bring a mask to the vaccination appointment,0.695986135
1,Bring any emails about your vaccination appointment (on your phone or printed) to your vaccine appointment,Do not bring any emails about your vaccination appointment (on your phone or printed) to your vaccine appointment,Do not bring emails related to your vaccination appointment (on your phone or in print) to your vaccination appointment,0.736842105
1,"Bring photo identification, if you have one, such as a passport or driver’s licence to your vaccine appointment","Do not bring photo identification, if you have one, such as a passport or driver’s licence to your vaccine appointment","Do not bring photo ID, if you have one, such as a passport or driver's license to the vaccination appointment",0.75
1,Bring a Medicare card or Individual Healthcare Identifier (IHI) number if you have don’t have a Medicare card. You can still get vaccinated if you don’t have a Medicare card or a IHI number.,Do not bring a Medicare card or Individual Healthcare Identifier (IHI) number if you have don’t have a Medicare card. You can not get vaccinated if you don’t have a Medicare card or a IHI number.,Do not bring a Medicare card or Individual Health Identification (IHI) number if you do not have a Medicare card. You can't get vaccinated if you don't have a Medicare card or IHI number.,0.804215329
1,Vaccines are free. There may be an additional charge if you get vaccinated at a GP or pharmacy.,Vaccines are not free. There may be an additional charge if you get vaccinated at a GP or pharmacy.,"Vaccines are not free. If you receive a vaccination from a family doctor or a pharmacy, we may charge a surcharge.",0.428571429
1,Don't go to a vaccine appointment if you think you may have COVID-19.,Don't not go to a vaccine appointment if you think you may have COVID-19.,Do not go to a vaccination appointment if you think you have been infected with COVID-19.,0.6875
1," If you have symptoms, get tested and isolate until you receive a negative result."," If you have symptoms, do not get tested and isolate until you receive a negative result.","   If you have symptoms, do not test and isolate until you get a negative result.",0.873139853
1,You must tell your immunisation provider beforehand if you are allergic to ingredients in a COVID-19 vaccine (such as polyethylene glycol in Pfizer or polysorbate 80 in AstraZeneca and Novavax) or have had anaphylaxis (a severe allergic reaction) to other vaccines and medicines.,You must not tell your immunisation provider beforehand if you are allergic to ingredients in a COVID-19 vaccine (such as polyethylene glycol in Pfizer or polysorbate 80 in AstraZeneca and Novavax) or have had anaphylaxis (a severe allergic reaction) to other vaccines and medicines.,Do not tell your vaccinator in advance if you are allergic to any of the ingredients in the COVID-19 vaccine (such as polyethylene glycol in Pfizer or polysorbate 80 in AstraZeneca and Novavax) or if you have had an anaphylactic reaction (severe allergic reaction) to other vaccines and medicines. .,0.7
1,"After receiving your vaccine, you will be asked to wait for 15 minutes to make sure you're okay.","After receiving your vaccine, you will not be asked to wait for 15 minutes to make sure you're okay.",There is no need to wait 15 minutes after the vaccination to make sure you are well.,0.418357537
1,Vaccines are delivered by trained professionals who have medications and equipment on hand to respond to any issues.,Vaccines are not delivered by trained professionals who have medications and equipment on hand to respond to any issues.,Vaccines are not delivered by trained professionals who have the drugs and equipment on hand to address any problem.,0.789473684
1,"For a day or two, you may experience some symptoms such as pain where you had the injection, muscle ache, headache, fever, or fatigue.","For a day or two, you may not experience some symptoms such as pain where you had the injection, muscle ache, headache, fever, or fatigue.","You may not experience certain symptoms for a day or two, such as pain at the injection site, muscle aches, headache, fever, or fatigue.",0.679425865
1,Visit Additional information for specific groups if you are pregnant; identify as an Aboriginal and Torres Strait Islander; are severely immunocompromised; have a history of blood clots or cardiac conditions or are someone with a disability or special requirement.,Visit Additional information for specific groups if you are not pregnant; not identify as an Aboriginal and Torres Strait Islander; are not severely immunocompromised; does not have a history of blood clots or cardiac conditions or are not someone with a disability or special requirement.,"If you are not pregnant, visit More information for specific groups; does not identify as Aboriginal and Torres Strait Islander; are not severely immunocompromised; have no history of blood clots or heart disease, or have a disability or special needs.",0.661872677
1,People over the age of 5 who have had COVID-19 and are due for their next dose of COVID-19 vaccine should wait 3 months from testing positive before getting their next vaccine dose.,People over the age of 5 who have not had COVID-19 and are not due for their next dose of COVID-19 vaccine should wait 3 months from testing positive before getting their next vaccine dose.,Those over 5 years of age who have not yet received COVID-19 and are not due for their next dose of the COVID-19 vaccine must wait 3 months from the date of the positive result before receiving the next dose of vaccine.,0.642857143
1,Waiting for a 3-month period after infection before COVID-19 vaccination is to provide better and longer protection against re-infection from COVID-19.,Waiting for a 3-month period after infection before COVID-19 vaccination is not to provide better and longer protection against re-infection from COVID-19.,Waiting 3 months after infection before getting the COVID-19 vaccine does not mean better and longer protection against re-infection caused by COVID-19.,0.590909091
1,Victorians are encouraged to get an influenza vaccine this year to protect themselves against seasonal influenza. This will help protect our health system and our most vulnerable people.,Victorians are not encouraged to get an influenza vaccine this year to protect themselves against seasonal influenza. This will not help protect our health system and our most vulnerable people.,Victorians are not being encouraged to get a flu shot this year to protect against seasonal flu. This will not help protect our healthcare system and our most vulnerable people.,0.8
1,The Australian Technical Advisory Group on Immunisation (ATAGI) advises that COVID-19 vaccines can be given at the same time as an influenza vaccine.,The Australian Technical Advisory Group on Immunisation (ATAGI) advises that COVID-19 vaccines can not be given at the same time as an influenza vaccine.,The Australian Technical Advisory Group on Immunization (ATAGI) advises that the COVID-19 vaccine should not be given at the same time as the influenza vaccine.,0.8
1,"A State of Emergency has been declared in Victoria to combat COVID-19 and help to provide the Chief Health Officer with the powers he needs to enforce 14-day isolation requirements for all travellers entering Australia and cancel mass gatherings of more than 500 people, as agreed by National Cabinet yesterday.","A State of Emergency has not been declared in Victoria to combat COVID-19 and help to provide the Chief Health Officer with the powers he doesn't need to enforce 14-day isolation requirements for all travellers entering Australia and cancel mass gatherings of more than 500 people, as disagreed by National Cabinet yesterday.","A state of emergency has not been declared in Victoria to combat COVID-19 and help provide the director of health with powers he does not need to enforce 14-day isolation requirements for all travelers entering Australia and cancel meetings in mass of more than 500 people, as the National Cabinet disagreed yesterday.",0.807692308
