MR,Source,Followup,Result,BLEU_Score,,,
1,"Fines for body corporates that don’t comply could be up to $100,000.",-,-,,,,
1,This is another step in the Victorian Government’s plan to combat this virus and do what we need to do to slow the spread of COVID-19.,This is not another step in the Victorian Government’s plan to combat this virus and do what we need to do to slow the spread of COVID-19.,This is not yet another step in the Victorian government's plan to fight this virus and do what we need to do to slow the spread of COVID-19.,0.892857143,,,
1,Anyone needing advice about whether a mass gathering can proceed can contact the DHHS advice line on 1800 675 398.,Anyone not needing advice about whether a mass gathering can proceed can contact the DHHS advice line on 1800 675 398.,Anyone who does not need advice on whether a mass meeting can proceed can contact the DHHS advice line on 1800 675 398.,0.782608696,,,
1,"“We are taking these steps, after agreement from the National Cabinet that includes the Prime Minister and all Premiers and Chief Ministers, to contain the spread of coronavirus as much as we can.”","“We are not taking these steps, after agreement from the National Cabinet that includes the Prime Minister and all Premiers and Chief Ministers, to contain the spread of coronavirus as much as we can.”","“We are not taking these measures, following the agreement of the National Cabinet which includes the prime minister and all prime ministers and chief ministers, to contain the spread of the coronavirus as much as we can.”",0.675675676,,,
1,"A State of Emergency has been declared in Victoria to combat COVID-19 and help to provide the Chief Health Officer with the powers he needs to enforce 14-day isolation requirements for all travellers entering Australia and cancel mass gatherings of more than 500 people, as agreed by National Cabinet yesterday.","A State of Emergency has not been declared in Victoria to combat COVID-19 and help to provide the Chief Health Officer with the powers he doesn't need to enforce 14-day isolation requirements for all travellers entering Australia and cancel mass gatherings of more than 500 people, as disagreed by National Cabinet yesterday.","Victoria has yet to declare a state of emergency to combat COVID-19 and gives the chief health officer the power he does not need to enforce a 14-day isolation requirement for all travelers entering Australia and cancel more than 500 inclusions. People, according to the Cabinet, disagreed yesterday.",0.536692575,,,
1,"Premier Daniel Andrews and Minister for Health Jenny Mikakos announced that the State of Emergency would begin on Monday, 16 March at midday and be in force for the next four weeks to assist with measures designed to ‘flatten the curve’ of COVID-19 and give our health system the best chance of managing the virus.","Premier Daniel Andrews and Minister for Health Jenny Mikakos haven't announced that the State of Emergency would begin on Monday, 16 March at midday and be in force for the next four weeks to assist with measures designed to ‘flatten the curve’ of COVID-19 and give our health system the best chance of managing the virus.","Prime Minister Daniel Andrews and Health Minister Jenny Micakos have yet to announce that the state of emergency will begin on Monday, March 16 at noon. and will be effective for the next four weeks. to assist measures designed to 'Smooth the curve' of COVID-19 and give our health systems the best chance at handling the virus.",0.666666667,,,
1,"Under a State of Emergency, Authorised Officers, at the direction of the Chief Health Officer, can act to eliminate or reduce a serious risk to public health by detaining people, restricting movement, preventing entry to premises, or providing any other direction an AO considers reasonable to protect public health.","Not under a State of Emergency, Authorised Officers, at the direction of the Chief Health Officer, can act to eliminate or reduce a serious risk to public health by detaining people, restricting movement, preventing entry to premises, or providing any other direction an AO considers reasonable to protect public health.",not under emergency Authorities on the orders of the Chief Health Officer can take steps to eliminate or reduce the serious risks to public health by quarantining individuals. limited movement Prevent entry of the premises or give other directions the AO deems appropriate to protect public health.,0.499023763,,,
1,"The first direction from the Chief Health Officer under these new powers will include banning non-essential mass gatherings of over 500 people such as cultural events, sporting events or conferences.","The first direction from the Chief Health Officer under these new powers will not include banning non-essential mass gatherings of over 500 people such as cultural events, sporting events or conferences.","The first direction from the chief health officer under these new powers will not include banning non-essential gatherings of more than 500 people, such as cultural events, sporting events or conferences.",0.806451613,,,
1,"A number of our state’s largest cultural institutions including the National Gallery of Victoria, the State Library and Museums Victoria have also announced temporary closures, and events such as the Melbourne Comedy Festival and Melbourne Food and Wine Festival have already been postponed.","Not a number of our state’s largest cultural institutions including the National Gallery of Victoria, the State Library and Museums Victoria have also announced temporary closures, and events such as the Melbourne Comedy Festival and Melbourne Food and Wine Festival have already been postponed.","There are also some of the state's largest cultural institutions, such as the National Gallery of Victoria, the State Library. and the Victoria Museum announced to be temporarily closed. And events such as the Melbourne Comedy Festival and Melbourne Food and Wine Festival have been postponed.",0.652173913,,,
1,"Gatherings that are deemed essential and may continue include public transport, food markets and workplaces. Schools, TAFEs and universities will remain open for now but have been asked to restrict mass gatherings such as assemblies and lectures of over 500 people.","Gatherings that are not deemed essential and may continue include public transport, food markets and workplaces. Schools, TAFEs and universities will remain open for now but have been asked to restrict mass gatherings such as assemblies and lectures of over 500 people.","Non-essential and potentially ongoing gatherings include public transport, food markets and workplaces, TAFE schools and universities. will remain open for now But they were asked to limit large gatherings, such as rallies and lectures with more than 500 participants.",0.498594427,,,
1,"At this stage spaces or locations where 500 or more people may be in transit, such as Federation Square or Bourke Street Mall, are excluded from the ban on mass gatherings.","Not at this stage spaces or locations where 500 or more people may be in transit, such as Federation Square or Bourke Street Mall, are excluded from the ban on mass gatherings.","not at this stage Areas or places where there may be 500 or more people along the way, such as Federation Square or the Bourke Street Mall, are not prohibited from large gatherings.",0.696969697,,,
1,"However, if it is deemed necessary to protect public health, the powers can also be used in future to quarantine entire suburbs, businesses or professions – rather than just individuals.","However, if it is  not deemed necessary to protect public health, the powers can also be used in future to quarantine entire suburbs, businesses or professions – rather than just individuals.","However, if it is not necessary to protect public health Such powers could then be used in the future to quarantine all suburbs, businesses or professions. instead of using individual",0.644810734,,,
1,The powers also allow the Chief Health Officer to do whatever is necessary to contain the spread of the virus and reduce the risk to the health of Victorians.,The powers also disallow the Chief Health Officer to do whatever is necessary to contain the spread of the virus and reduce the risk to the health of Victorians.,The power also does not allow the Chief Health Officer to do whatever is necessary to control the spread of the virus and reduce the health risks for Victorians.,0.75862069,,,
1,"While most Victorians are voluntarily complying with requests to isolate, the expanded powers mean that people who don’t comply with a directive could receive a fine of up to $20,000.","While most Victorians are not voluntarily complying with requests to isolate, the expanded powers mean that people who don’t comply with a directive could receive a fine of up to $20,000.","Although the majority of Victorians did not comply with their voluntary requests for secession. But the increased power means that those who fail to comply with the order could face fines of up to $20,000.",0.428571429,,,
1,"Fines for body corporates that don’t comply could be up to $100,000.",-,-,,,,
1,This is another step in the Victorian Government’s plan to combat this virus and do what we need to do to slow the spread of COVID-19.,This is not another step in the Victorian Government’s plan to combat this virus and do what we need to do to slow the spread of COVID-19.,This is not another step in the Victorian government's plan to combat the virus. And do what we need to do to slow the spread of COVID-19.,0.851851852,,,
1,Anyone needing advice about whether a mass gathering can proceed can contact the DHHS advice line on 1800 675 398.,Anyone not needing advice about whether a mass gathering can proceed can contact the DHHS advice line on 1800 675 398.,Anyone who doesn't want advice on whether the rally can continue or not. Please contact the DHHS advice line on 1800 675 398.,0.565217391,,,
1,"“We are taking these steps, after agreement from the National Cabinet that includes the Prime Minister and all Premiers and Chief Ministers, to contain the spread of coronavirus as much as we can.”","“We are not taking these steps, after agreement from the National Cabinet that includes the Prime Minister and all Premiers and Chief Ministers, to contain the spread of coronavirus as much as we can.”","“We will not take these steps. After an agreement from the National Council of Ministers, which includes the Prime Minister, the Prime Minister and all the Chief Ministers to control the spread of the coronavirus as much as possible.”",0.58974359,,,
1,"A State of Emergency has been declared in Victoria to combat COVID-19 and help to provide the Chief Health Officer with the powers he needs to enforce 14-day isolation requirements for all travellers entering Australia and cancel mass gatherings of more than 500 people, as agreed by National Cabinet yesterday.","A State of Emergency has not been declared in Victoria to combat COVID-19 and help to provide the Chief Health Officer with the powers he doesn't need to enforce 14-day isolation requirements for all travellers entering Australia and cancel mass gatherings of more than 500 people, as disagreed by National Cabinet yesterday.","Victoria has not declared a state of emergency to combat COVID-19 and help give the health chief powers he doesn't need to enforce a 14-day isolation requirement for all travelers entering Australia and cancel mass gatherings of more than 500 people, like yesterday the state cabinet did not agree.",0.633473427,,,
1,"Premier Daniel Andrews and Minister for Health Jenny Mikakos announced that the State of Emergency would begin on Monday, 16 March at midday and be in force for the next four weeks to assist with measures designed to ‘flatten the curve’ of COVID-19 and give our health system the best chance of managing the virus.","Premier Daniel Andrews and Minister for Health Jenny Mikakos haven't announced that the State of Emergency would begin on Monday, 16 March at midday and be in force for the next four weeks to assist with measures designed to ‘flatten the curve’ of COVID-19 and give our health system the best chance of managing the virus.","Premier Daniel Andrews and Health Minister Jenny Mikakos have not announced that the state of emergency will begin at noon on Monday, March 16 and remain in place for the next four weeks to help with measures designed to flatten the COVID curve. 19 and give our healthcare system the best chance to deal with the virus.",0.701754386,,,
1,"Under a State of Emergency, Authorised Officers, at the direction of the Chief Health Officer, can act to eliminate or reduce a serious risk to public health by detaining people, restricting movement, preventing entry to premises, or providing any other direction an AO considers reasonable to protect public health.","Not under a State of Emergency, Authorised Officers, at the direction of the Chief Health Officer, can act to eliminate or reduce a serious risk to public health by detaining people, restricting movement, preventing entry to premises, or providing any other direction an AO considers reasonable to protect public health.","Except in an emergency, authorized officers, under the direction of the Director General of Health, may act to eliminate or reduce a serious threat to public health by detaining persons, restricting movement, preventing entry to premises, or giving any other direction the AO deems reasonable to protect public health.",0.699856196,,,
1,"The first direction from the Chief Health Officer under these new powers will include banning non-essential mass gatherings of over 500 people such as cultural events, sporting events or conferences.","The first direction from the Chief Health Officer under these new powers will not include banning non-essential mass gatherings of over 500 people such as cultural events, sporting events or conferences.","The director-general's first direction under these new powers does not include banning non-essential mass gatherings of more than 500 people, such as cultural events, sporting events or conferences.",0.737969228,,,
1,"A number of our state’s largest cultural institutions including the National Gallery of Victoria, the State Library and Museums Victoria have also announced temporary closures, and events such as the Melbourne Comedy Festival and Melbourne Food and Wine Festival have already been postponed.","Not a number of our state’s largest cultural institutions including the National Gallery of Victoria, the State Library and Museums Victoria have also announced temporary closures, and events such as the Melbourne Comedy Festival and Melbourne Food and Wine Festival have already been postponed.","Several of our state's biggest cultural institutions, including the National Gallery of Victoria, State Library and Museums Victoria, have also announced temporary closures, and events such as the Melbourne Comedy Festival and the Melbourne Food and Wine Festival have already been postponed.",0.839985413,,,
1,"Gatherings that are deemed essential and may continue include public transport, food markets and workplaces. Schools, TAFEs and universities will remain open for now but have been asked to restrict mass gatherings such as assemblies and lectures of over 500 people.","Gatherings that are not deemed essential and may continue include public transport, food markets and workplaces. Schools, TAFEs and universities will remain open for now but have been asked to restrict mass gatherings such as assemblies and lectures of over 500 people.","Gatherings that are not considered essential and may continue include public transport, food markets and workplaces. Schools, TAFEs and universities remain open for now but have been asked to limit mass gatherings such as gatherings of more than 500 people and lectures.",0.833333333,,,
1,"At this stage spaces or locations where 500 or more people may be in transit, such as Federation Square or Bourke Street Mall, are excluded from the ban on mass gatherings.","Not at this stage spaces or locations where 500 or more people may be in transit, such as Federation Square or Bourke Street Mall, are excluded from the ban on mass gatherings.","At this stage, the ban on mass gatherings does not include premises or places where 500 or more people may be present, such as Federation Square or Bourke Street Mall.",0.623671323,,,
1,"However, if it is deemed necessary to protect public health, the powers can also be used in future to quarantine entire suburbs, businesses or professions – rather than just individuals.","However, if it is  not deemed necessary to protect public health, the powers can also be used in future to quarantine entire suburbs, businesses or professions – rather than just individuals.","However, if it is not deemed necessary to protect public health, these powers could also be used in the future to quarantine entire suburbs, businesses or professions – not just individuals.",0.903225806,,,
1,The powers also allow the Chief Health Officer to do whatever is necessary to contain the spread of the virus and reduce the risk to the health of Victorians.,The powers also disallow the Chief Health Officer to do whatever is necessary to contain the spread of the virus and reduce the risk to the health of Victorians.,The powers also do not allow the health chief to do what is necessary to stop the spread of the virus and reduce the health risks to Victorians.,0.689225675,,,
1,"While most Victorians are voluntarily complying with requests to isolate, the expanded powers mean that people who don’t comply with a directive could receive a fine of up to $20,000.","While most Victorians are not voluntarily complying with requests to isolate, the expanded powers mean that people who don’t comply with a directive could receive a fine of up to $20,000.","While most Victorians do not voluntarily comply with isolation requests, the expanded powers mean people who do not comply with the directive can face fines of up to $20,000.",0.61151098,,,
1,"Fines for body corporates that don’t comply could be up to $100,000.",-,-,,,,
1,This is another step in the Victorian Government’s plan to combat this virus and do what we need to do to slow the spread of COVID-19.,This is not another step in the Victorian Government’s plan to combat this virus and do what we need to do to slow the spread of COVID-19.,This is not another step in the Victorian Government's plan to fight this virus and do what we need to do to slow the spread of COVID-19.,0.925925926,,,
1,Anyone needing advice about whether a mass gathering can proceed can contact the DHHS advice line on 1800 675 398.,Anyone not needing advice about whether a mass gathering can proceed can contact the DHHS advice line on 1800 675 398.,Anyone who does not need advice on whether to continue mass gatherings can contact the DHHS helpline on 1800 675 398.,0.619047619,,,
1,"“We are taking these steps, after agreement from the National Cabinet that includes the Prime Minister and all Premiers and Chief Ministers, to contain the spread of coronavirus as much as we can.”","“We are not taking these steps, after agreement from the National Cabinet that includes the Prime Minister and all Premiers and Chief Ministers, to contain the spread of coronavirus as much as we can.”","""We are not taking these steps following the agreement of the Cabinet of Ministers, which includes the Prime Minister and all the Prime Ministers and Prime Ministers, to limit the spread of the coronavirus as much as possible.""",0.605263158,,,
2,"A State of Emergency has been declared in Victoria to combat COVID-19 and help to provide the Chief Health Officer with the powers he needs to enforce 14-day isolation requirements for all travellers entering Australia and cancel mass gatherings of more than 500 people, as agreed by National Cabinet yesterday.",A State of Emergency has been declared in Victoria to combat COVID-19 and help to provide the Chief Health Officer with the powers he needs to enforce 14-day isolation requirements for all travellers entering Australia and cancel mass gatherings of more than 500 people. as agreed by National Cabinet yesterday.,A state of emergency has been declared in Victoria to combat COVID-19 and help provide the director of health with the necessary powers to enforce 14-day isolation requirements for all travelers entering Australia and cancel mass gatherings of more than 500 people. as agreed by the National Cabinet yesterday.,0.819831543,,,
2,"Premier Daniel Andrews and Minister for Health Jenny Mikakos announced that the State of Emergency would begin on Monday, 16 March at midday and be in force for the next four weeks to assist with measures designed to ‘flatten the curve’ of COVID-19 and give our health system the best chance of managing the virus.",Premier Daniel Andrews and Minister for Health Jenny Mikakos announced that the State of Emergency would begin on Monday. 16 March at midday and be in force for the next four weeks to assist with measures designed to ‘flatten the curve’ of COVID-19 and give our health system the best chance of managing the virus.,Prime Minister Daniel Andrews and Health Minister Jenny Mikakos announced that the state of emergency would begin on Monday. March 16 at noon and will run for the next four weeks to assist with measures aimed at “flattening the curve” of COVID-19 and giving our healthcare system the best chance of managing the virus.,0.745328291,,,
2,"Under a State of Emergency, Authorised Officers, at the direction of the Chief Health Officer, can act to eliminate or reduce a serious risk to public health by detaining people, restricting movement, preventing entry to premises, or providing any other direction an AO considers reasonable to protect public health.","Under a State of Emergency, Authorised Officers. At the direction of the Chief Health Officer. Can act to eliminate or reduce a serious risk to public health by detaining people. Restricting movement. Preventing entry to premises. Or providing any other direction an AO considers reasonable to protect public health.","In State of Emergency, Authorized Officers. Under the direction of the Director of Health. It can act to eliminate or reduce a serious risk to public health through the detention of persons. Restricting movement. Preventing entry to the premises. Or provide any other guidance that an AO deems reasonable to protect public health.",0.679245283,,,
2,"The first direction from the Chief Health Officer under these new powers will include banning non-essential mass gatherings of over 500 people such as cultural events, sporting events or conferences.",The first direction from the Chief Health Officer under these new powers will include banning non-essential mass gatherings of over 500 people such as cultural events. sporting events or conferences.,"The Director of Health's first guidance under these new powers will include a ban on non-essential mass gatherings of more than 500 people, such as cultural events. sporting events or conferences.",0.677419355,,,
2,"A number of our state’s largest cultural institutions including the National Gallery of Victoria, the State Library and Museums Victoria have also announced temporary closures, and events such as the Melbourne Comedy Festival and Melbourne Food and Wine Festival have already been postponed.",A number of our state’s largest cultural institutions including the National Gallery of Victoria. The State Library and Museums Victoria have also announced temporary closures. And events such as the Melbourne Comedy Festival and Melbourne Food and Wine Festival have already been postponed.,"Several of our state's largest cultural institutions, including the National Gallery of Victoria. The State Library and Victoria Museums also announced temporary closures. And events like the Melbourne Comedy Festival and the Melbourne Food and Wine Festival have already been postponed.",0.836245026,,,
2,"Gatherings that are deemed essential and may continue include public transport, food markets and workplaces. Schools, TAFEs and universities will remain open for now but have been asked to restrict mass gatherings such as assemblies and lectures of over 500 people.",Gatherings that are deemed essential and may continue include public transport. Food markets and workplaces. Schools. TAFEs and universities will remain open for now but have been asked to restrict mass gatherings such as assemblies and lectures of over 500 people.,"Gatherings considered essential and which can continue include public transport. Food markets and workplaces. Schools. TAFEs and universities will remain open for now, but have been asked to restrict mass gatherings such as assemblies and lectures of more than 500 people.",0.853658537,,,
2,"At this stage spaces or locations where 500 or more people may be in transit, such as Federation Square or Bourke Street Mall, are excluded from the ban on mass gatherings.",At this stage spaces or locations where 500 or more people may be in transit. Such as Federation Square or Bourke Street Mall. Are excluded from the ban on mass gatherings.,At this stage spaces or places where 500 or more people may be in transit. Like Federation Square or Bourke Street Mall. They are excluded from the ban on mass gatherings.,0.870967742,,,
2,"However, if it is deemed necessary to protect public health, the powers can also be used in future to quarantine entire suburbs, businesses or professions – rather than just individuals.",However. If it is deemed necessary to protect public health. The powers can also be used in future to quarantine entire suburbs. Businesses or professions – rather than just individuals.,Nonetheless. If deemed necessary to protect public health. The powers can also be used in the future to quarantine entire suburbs. Companies or professions – rather than just individuals.,0.8661631,,,
2,The powers also allow the Chief Health Officer to do whatever is necessary to contain the spread of the virus and reduce the risk to the health of Victorians.,-,-,,,,
2,"While most Victorians are voluntarily complying with requests to isolate, the expanded powers mean that people who don’t comply with a directive could receive a fine of up to $20,000.","While most Victorians are voluntarily complying with requests to isolate. The expanded powers mean that people who don’t comply with a directive could receive a fine of up to $20,000.","While most Victorians voluntarily comply with requests for isolation. The expanded powers mean that people who fail to comply with a directive can face a fine of up to $20,000.",0.8,,,
2,"Fines for body corporates that don’t comply could be up to $100,000.",-,-,,,,
2,This is another step in the Victorian Government’s plan to combat this virus and do what we need to do to slow the spread of COVID-19.,-,-,,,,
2,Anyone needing advice about whether a mass gathering can proceed can contact the DHHS advice line on 1800 675 398.,-,-,,,,
2,"“We are taking these steps, after agreement from the National Cabinet that includes the Prime Minister and all Premiers and Chief Ministers, to contain the spread of coronavirus as much as we can.”",“We are taking these steps. after agreement from the National Cabinet that includes the Prime Minister and all Premiers and Chief Ministers. to contain the spread of coronavirus as much as we can.”,“We are taking these measures. after agreement by the National Cabinet which includes the prime minister and all prime ministers and chief ministers. to contain the spread of the coronavirus as much as we can.”,0.714285714,,,
2,"A State of Emergency has been declared in Victoria to combat COVID-19 and help to provide the Chief Health Officer with the powers he needs to enforce 14-day isolation requirements for all travellers entering Australia and cancel mass gatherings of more than 500 people, as agreed by National Cabinet yesterday.",A State of Emergency has been declared in Victoria to combat COVID-19 and help to provide the Chief Health Officer with the powers he needs to enforce 14-day isolation requirements for all travellers entering Australia and cancel mass gatherings of more than 500 people. as agreed by National Cabinet yesterday.,A state of emergency has been declared in Victoria to combat COVID-19 and gives the Chief Health Officer the necessary powers to enforce the 14-day isolation requirement for all travelers entering Australia and cancel more than 500 gatherings. People as approved by the Cabinet yesterday,0.656215499,,,
2,"Premier Daniel Andrews and Minister for Health Jenny Mikakos announced that the State of Emergency would begin on Monday, 16 March at midday and be in force for the next four weeks to assist with measures designed to ‘flatten the curve’ of COVID-19 and give our health system the best chance of managing the virus.",Premier Daniel Andrews and Minister for Health Jenny Mikakos announced that the State of Emergency would begin on Monday. 16 March at midday and be in force for the next four weeks to assist with measures designed to ‘flatten the curve’ of COVID-19 and give our health system the best chance of managing the virus.,"Prime Minister Daniel Andrews and Health Minister Jenny Micakos announced the state of emergency would begin on Monday, March 16 at noon. and is in effect for the next four weeks to help with measures designed to 'Smooth the curve' of COVID-19 and give our health systems the best chance of managing the virus.",0.745328291,,,
2,"Under a State of Emergency, Authorised Officers, at the direction of the Chief Health Officer, can act to eliminate or reduce a serious risk to public health by detaining people, restricting movement, preventing entry to premises, or providing any other direction an AO considers reasonable to protect public health.","Under a State of Emergency, Authorised Officers. At the direction of the Chief Health Officer. Can act to eliminate or reduce a serious risk to public health by detaining people. Restricting movement. Preventing entry to premises. Or providing any other direction an AO considers reasonable to protect public health.","Under an emergency, competent officials as recommended by the Chief Health Officer Actions can be taken to eliminate or reduce serious risks to public health by imprisoning individuals. limited movement prevent entry into the premises or give any other direction the AO deems reasonable to protect public health.",0.510094886,,,
2,"The first direction from the Chief Health Officer under these new powers will include banning non-essential mass gatherings of over 500 people such as cultural events, sporting events or conferences.",The first direction from the Chief Health Officer under these new powers will include banning non-essential mass gatherings of over 500 people such as cultural events. sporting events or conferences.,"The first direction from the chief health officer under these new powers would include banning non-essential gatherings of more than 500 people, such as cultural events, sporting events or conferences.",0.733333333,,,
2,"A number of our state’s largest cultural institutions including the National Gallery of Victoria, the State Library and Museums Victoria have also announced temporary closures, and events such as the Melbourne Comedy Festival and Melbourne Food and Wine Festival have already been postponed.",A number of our state’s largest cultural institutions including the National Gallery of Victoria. The State Library and Museums Victoria have also announced temporary closures. And events such as the Melbourne Comedy Festival and Melbourne Food and Wine Festival have already been postponed.,"Many of the largest cultural institutions of our state including the National Gallery of Victoria The State Library and Museum of Victoria has also announced temporary closures, and events such as the Melbourne Comedy Festival and Melbourne Food and Wine Festival have been postponed.",0.772727273,,,
2,"Gatherings that are deemed essential and may continue include public transport, food markets and workplaces. Schools, TAFEs and universities will remain open for now but have been asked to restrict mass gatherings such as assemblies and lectures of over 500 people.",Gatherings that are deemed essential and may continue include public transport. Food markets and workplaces. Schools. TAFEs and universities will remain open for now but have been asked to restrict mass gatherings such as assemblies and lectures of over 500 people.,"The assembly was deemed necessary and may continue including public transport. Food and work markets, schools, TAFEs and universities will remain open for now But they were asked to limit large gatherings, such as gatherings and lectures with more than 500 participants.",0.571428571,,,
2,"At this stage spaces or locations where 500 or more people may be in transit, such as Federation Square or Bourke Street Mall, are excluded from the ban on mass gatherings.",At this stage spaces or locations where 500 or more people may be in transit. Such as Federation Square or Bourke Street Mall. Are excluded from the ban on mass gatherings.,"At this stage, areas or places where 500 or more people may be in transit, such as Federation Square or the Bourke Street Mall, will be barred from the ban.",0.612570197,,,
2,"However, if it is deemed necessary to protect public health, the powers can also be used in future to quarantine entire suburbs, businesses or professions – rather than just individuals.",However. If it is deemed necessary to protect public health. The powers can also be used in future to quarantine entire suburbs. Businesses or professions – rather than just individuals.,however. If it is necessary to protect public health Such powers can also be used to quarantine all future suburbs. Business or Career – Not Just Individuals,0.596559545,,,
2,The powers also allow the Chief Health Officer to do whatever is necessary to contain the spread of the virus and reduce the risk to the health of Victorians.,-,-,,,,
2,"While most Victorians are voluntarily complying with requests to isolate, the expanded powers mean that people who don’t comply with a directive could receive a fine of up to $20,000.","While most Victorians are voluntarily complying with requests to isolate. The expanded powers mean that people who don’t comply with a directive could receive a fine of up to $20,000.","While the majority of Victorians were willing to comply with their request for secession. The increased power means that those who fail to comply with the order may be fined up to $20,000.",0.393939394,,,
2,"Fines for body corporates that don’t comply could be up to $100,000.",-,-,,,,
2,This is another step in the Victorian Government’s plan to combat this virus and do what we need to do to slow the spread of COVID-19.,-,-,,,,
2,Anyone needing advice about whether a mass gathering can proceed can contact the DHHS advice line on 1800 675 398.,-,-,,,,
